source,article_title,post_date,keywords,url
blockbeats,LQTY深度用户亲述：LUSD是顶级DeFi稳定币，却面临扩张之殇,2023-03-02 22:00:01,"[('LQTY', 1.0867970457181817), ('亲述', 1.0867970457181817), ('LUSD', 1.0867970457181817)]",https://www.theblockbeats.info/news/35182
blockbeats,ETH Staking的崛起或将推动DeFi复兴,2023-03-02 18:12:31,"[('ETH', 1.9924612504833332), ('Staking', 1.9924612504833332), ('DeFi', 1.9924612504833332)]",https://www.theblockbeats.info/news/35200
blockbeats,社交通信协议Towns：a16z下注2250万美元的赛道新贵,2023-03-02 17:52:24,"[('通信协议', 1.5445197391111112), ('赛道', 1.3454353536333334), ('Towns', 1.3283075003222222)]",https://www.theblockbeats.info/news/35199
blockbeats,全面剖析Blur发展史，超越OpenSea后如何获得长期成功？,2023-03-02 17:00:02,"[('Blur', 1.19547675029), ('OpenSea', 1.19547675029), ('剖析', 0.889004235788)]",https://www.theblockbeats.info/news/35146
blockbeats,使用Coinbase推出的Layer2网络Base，到底需不需要KYC？,2023-03-02 16:23:30,"[('Coinbase', 1.3283075003222222), ('Layer2', 1.3283075003222222), ('Base', 1.3283075003222222)]",https://www.theblockbeats.info/news/35183
blockbeats,加密研究员近期关注的5个新项目一览,2023-03-02 15:07:00,"[('加密', 1.6236324281033332), ('一览', 1.494367286475), ('研究员', 1.1339927122466666)]",https://www.theblockbeats.info/news/35180
blockbeats,多角度对比Optimism与Arbitrum，谁将笑到最后？,2023-03-02 14:57:08,"[('Optimism', 2.39095350058), ('Arbitrum', 2.39095350058), ('多角度', 2.07486342548)]",https://www.theblockbeats.info/news/35178
blockbeats,Aptos Grant DAO第二轮25个入选项目速览,2023-03-02 14:18:49,"[('Aptos', 1.4943459378625), ('Grant', 1.4943459378625), ('DAO', 1.4943459378625)]",https://www.theblockbeats.info/news/35177
blockbeats,Omnichain Token：万链合一时代的新通证标准,2023-03-02 14:16:04,"[('Omnichain', 1.7078239289857142), ('Token', 1.7078239289857142), ('万链', 1.7078239289857142)]",https://www.theblockbeats.info/news/35176
blockbeats,上海升级后，LSD收益如何实现「叠buff」？,2023-03-02 13:27:47,"[('LSD', 1.7078239289857142), ('buff', 1.7078239289857142), ('升级', 0.9628331064728571)]",https://www.theblockbeats.info/news/35147
blockbeats,【3月2日更新】ETHDenver 2023（以太坊丹佛大会）开幕，大会议程，新闻追踪报道,2023-03-02 12:26:29,"[('大会', 1.1204773371436365), ('ETHDenver', 1.0867970457181817), ('2023', 1.0867970457181817)]",https://www.theblockbeats.info/news/34786
blockbeats,Arbitrum Argonaut启航，与BitKeep一起抓住Arbitrum机会,2023-03-02 11:57:16,"[('Arbitrum', 2.988691875725), ('Argonaut', 1.4943459378625), ('BitKeep', 1.4943459378625)]",https://www.theblockbeats.info/news/35152
blockbeats,万神殿Pantheon：Celer的ZKP开发框架评测平台,2023-03-02 11:57:00,"[('Pantheon', 1.4943459378625), ('Celer', 1.4943459378625), ('ZKP', 1.4943459378625)]",https://www.theblockbeats.info/news/35151
