source,main_keyword,slope,Occurrence,article_title,keywords,post_date,url
blockbeats,NFT,-0.34,10.71,BTCNFT新叙事将迎来爆发？详解比特币网络NFT项目和基建现状,"[('NFT', 1.9924612504833332), ('BTC', 0.9962306252416666), ('比特', 0.85525762435)]",2023-02-10 18:50:39,https://www.theblockbeats.info/news/34557
blockbeats,NFT,-0.34,10.71,当风口转向比特币NFT，有哪些项目值得关注？,"[('NFT', 1.7078239289857142), ('哪些项目', 1.6432546255999998), ('比特', 1.4661559274571427)]",2023-02-10 16:16:27,https://www.theblockbeats.info/news/34538
blockbeats,NFT,-0.34,10.71,Ordyswap：比特币网络第一个NFT交易协议,"[('Ordyswap', 1.7078239289857142), ('NFT', 1.7078239289857142), ('比特', 1.4661559274571427)]",2023-02-10 14:19:28,https://www.theblockbeats.info/news/34539
foresightnews,NFT,-0.34,10.71,DragonflyCapital研究员：NFT交易正趋向同质化，通往高效的道路仍然漫长,"[('Dragonfly', 0.9962306252416666), ('Capital', 0.9962306252416666), ('NFT', 0.9962306252416666)]",2023-02-10 11:13:00,https://foresightnews.pro/article/detail/25044
foresightnews,NFT,-0.34,10.71,NFT:一个玩家的旅程,"[('NFT', 2.988691875725), ('旅程', 2.4130456024825), ('玩家', 2.2525821309375)]",2023-02-10 12:00:00,https://foresightnews.pro/article/detail/25053
foresightnews,NFT,-0.34,10.71,BitKeepNFT市场狂飙：独揽Polygon最大型P2E游戏PlanetIX79%的交易量,"[('BitKeep', 0.9195975002230768), ('NFT', 0.9195975002230768), ('Polygon', 0.9195975002230768)]",2023-02-10 17:18:00,https://foresightnews.pro/article/detail/25080
panewslab,NFT,-0.34,10.71,传闻BitcoinPunks上涨百倍？详解比特币网络NFT项目和基建现状,"[('Bitcoin', 0.9962306252416666), ('Punks', 0.9962306252416666), ('NFT', 0.9962306252416666)]",2023-02-10 11:50:54,https://www.panewslab.com/zh/articledetails/wavtga52.html
panewslab,NFT,-0.34,10.71,NFT：如何在数字对象中存储价值？,"[('NFT', 1.9924612504833332), ('存储', 1.3806510923850002), ('数字', 1.079219960825)]",2023-02-10 09:05:07,https://www.panewslab.com/zh/articledetails/yfnu3dqw.html
marsbit,NFT,-0.34,10.71,从数据看NFT市场中的洗售交易(WashTrade),"[('NFT', 1.7078239289857142), ('洗售', 1.7078239289857142), ('Wash', 1.7078239289857142)]",2023-02-10 19:58:34,https://news.marsbit.cc/20230210195835856956.html
marsbit,NFT,-0.34,10.71,长推：BTCNFT新叙事将迎来爆发？,"[('BTC', 2.39095350058), ('NFT', 2.39095350058), ('叙事', 1.72863645599)]",2023-02-10 13:33:21,https://news.marsbit.cc/20230210133322018630.html
marsbit,NFT,-0.34,10.71,BitcoinPunks上涨百倍？详解比特币网络NFT项目和基建现状,"[('Bitcoin', 1.0867970457181817), ('Punks', 1.0867970457181817), ('NFT', 1.0867970457181817)]",2023-02-10 12:31:42,https://news.marsbit.cc/20230210123143243625.html
panewslab,Kraken,0.96,8.93,PA日报｜Kraken将关闭美国加密质押服务；三箭创始人推出债权交易市场OpenExchange,"[('PA', 0.7969845001933333), ('Kraken', 0.7969845001933333), ('三箭', 0.7969845001933333)]",2023-02-10 21:19:00,https://www.panewslab.com/zh/articledetails/yr0k23q7.html
marsbit,Kraken,0.96,8.93,MarsBit日报|Kraken将关闭美国加密质押服务；网传微软解散工业元宇宙部门,"[('MarsBit', 0.8539119644928571), ('Kraken', 0.8539119644928571), ('网传', 0.8539119644928571)]",2023-02-10 21:08:50,https://news.marsbit.cc/20230210210851046671.html
blockbeats,SEC,0.77,5.95,a16z点评「SEC与Kraken和解案」：SEC应优先考虑指导规则，而不是零星执法进行监管,"[('SEC', 1.5939690003866667), ('a16z', 0.7969845001933333), ('Kraken', 0.7969845001933333)]",2023-02-10 13:44:28,https://www.theblockbeats.info/news/34535
odaily,SEC,0.77,5.95,星球日报|传闻SEC有意取消面向美国散户的加密货币质押服务；Aave稳定币GHO已部署至以太坊Goerli测试网（2月10日）,"[('SEC', 0.5692746429952381), ('Aave', 0.5692746429952381), ('GHO', 0.5692746429952381)]",2023-02-10 08:00:00,https://www.odaily.news/post/5184983
marsbit,SEC,0.77,5.95,为什么SEC对加密质押商痛下杀手？,"[('SEC', 1.9924612504833332), ('商痛', 1.9924612504833332), ('加密', 1.6236324281033332)]",2023-02-10 20:25:18,https://news.marsbit.cc/20230210202519197537.html
marsbit,关停,0.51,4.76,SEC关停Kraken质押业务引发加密行业冲击波,"[('SEC', 1.3283075003222222), ('Kraken', 1.3283075003222222), ('关停', 1.0841714361755554)]",2023-02-10 09:36:07,https://news.marsbit.cc/20230210093607179166.html
blockbeats,Staking,0.51,4.76,从Staking聊起，4种掌控以太坊网络的方式,"[('Staking', 1.9924612504833332), ('聊起', 1.8093592023833331), ('以太', 1.6750883417166669)]",2023-02-10 19:07:15,https://www.theblockbeats.info/news/34565
panewslab,Staking,0.51,4.76,了解4种以太坊Staking方案，安心获取属于你的质押收益,"[('Staking', 1.3283075003222222), ('以太', 1.1167255611444444), ('质押', 0.9249698387588889)]",2023-02-10 20:27:51,https://www.panewslab.com/zh/articledetails/nw3dkxw0.html
techflowpost,Staking,0.51,4.76,Kraken暂停质押业务，一文了解4种Staking方案之间的关系和异同,"[('Kraken', 1.0867970457181817), ('Staking', 1.0867970457181817), ('异同', 0.8506711699736363)]",2023-02-10 18:50:02,https://www.techflowpost.com/article/2046
marsbit,Staking,0.51,4.76,0xTodd：从Staking聊起，4种掌控以太坊网络的方式,"[('0xTodd', 1.7078239289857142), ('Staking', 1.7078239289857142), ('聊起', 1.5508793163285712)]",2023-02-10 20:39:55,https://news.marsbit.cc/20230210203955699908.html
marsbit,Staking,0.51,4.76,SEC监管政策对4种类型Staking业务的影响分析,"[('SEC', 1.4943459378625), ('Staking', 1.4943459378625), ('监管', 0.750097791105)]",2023-02-10 13:22:18,https://news.marsbit.cc/20230210132219646912.html
foresightnews,AI,0.05,4.76,近期新闻汇总：NEAR可充当赋能下一代AI用例的基础设施,"[('NEAR', 1.19547675029), ('赋能', 1.19547675029), ('AI', 1.19547675029)]",2023-02-10 12:42:00,https://foresightnews.pro/article/detail/25055
foresightnews,AI,0.05,4.76,Web3和AI会是一生中最具变革性的两项技术，当两者结合时……｜Chainlink周报,"[('Web3', 1.0867970457181817), ('AI', 1.0867970457181817), ('Chainlink', 1.0867970457181817)]",2023-02-10 22:00:00,https://foresightnews.pro/article/detail/25113
foresightnews,AI,0.05,4.76,每周一云丨谷歌向AI初创公司Anthropic投资将近4亿美元；凡拓数创数智虚拟人等产品应用了ChatGPT等相关技术,"[('一云', 0.6641537501611111), ('AI', 0.6641537501611111), ('Anthropic', 0.6641537501611111)]",2023-02-10 18:15:00,https://foresightnews.pro/article/detail/25118
techflowpost,AI,0.05,4.76,加密世界中的人工智能宝石：生成艺术、集体计算、逻辑AI和元宇宙,"[('AI', 1.0867970457181817), ('加密', 0.8856176880563636), ('人工智能', 0.8598205814081818)]",2023-02-10 09:48:49,https://www.techflowpost.com/article/2038
marsbit,AI,0.05,4.76,MarsBit周报|美SEC打击加密质押市场；AI投资板块热度飙升,"[('MarsBit', 0.9962306252416666), ('SEC', 0.9962306252416666), ('AI', 0.9962306252416666)]",2023-02-10 21:29:45,https://news.marsbit.cc/20230210212953857258.html
marsbit,AI,0.05,4.76,Web3AI项目：生成艺术、集体计算、逻辑AI和元宇宙,"[('AI', 2.39095350058), ('Web3', 1.19547675029), ('宇宙', 0.736834335975)]",2023-02-10 10:45:44,https://news.marsbit.cc/20230210104546323130.html
blockbeats,中心化,-1.01,3.57,【视频】去中心化就意味着无监管吗？聊聊加密领域的监管与法律,"[('中心化', 1.4224517070333333), ('监管', 1.3335071841866666), ('聊聊', 1.1098505162833332)]",2023-02-10 11:57:09,https://www.theblockbeats.info/news/34521
techflowpost,中心化,-1.01,3.57,未来去中心化应用会比区块链底层协议更有价值吗？,"[('中心化', 1.8288664804714287), ('区块', 1.6432546255999998), ('底层', 1.2083228487785715)]",2023-02-10 16:46:45,https://www.techflowpost.com/article/2044
techflowpost,中心化,-1.01,3.57,深入探讨去中心化永续合约赛道和协议VelaExchange的未来,"[('中心化', 1.4224517070333333), ('赛道', 1.3454353536333334), ('Vela', 1.3283075003222222)]",2023-02-10 15:08:02,https://www.techflowpost.com/article/2042
marsbit,中心化,-1.01,3.57,去中心化应用会比底层协议更有价值吗？,"[('中心化', 2.5604130726600003), ('底层', 1.69165198829), ('协议', 1.1898940991)]",2023-02-10 19:41:27,https://news.marsbit.cc/20230210194128034835.html
odaily,Coinbase,0.11,3.57,解读：Kraken关停质押业务，Coinbase会是下一个吗？,"[('Kraken', 1.7078239289857142), ('Coinbase', 1.7078239289857142), ('关停', 1.3939347036542855)]",2023-02-10 16:24:27,https://www.odaily.news/post/5185002
panewslab,Coinbase,0.11,3.57,SEC叫停链上质押，Coinbase随即暴跌14%,"[('SEC', 1.4943459378625), ('链上', 1.4943459378625), ('Coinbase', 1.4943459378625)]",2023-02-10 11:41:04,https://www.panewslab.com/zh/articledetails/r32qfycv.html
marsbit,Coinbase,0.11,3.57,Kraken关停质押业务，Coinbase会是下一个吗？,"[('Kraken', 1.9924612504833332), ('Coinbase', 1.9924612504833332), ('关停', 1.6262571542633333)]",2023-02-10 19:29:25,https://news.marsbit.cc/20230210192930424621.html
blockbeats,重罚,0.32,2.98,Kraken被重罚并关停美国加密质押服务，业内人士怎么看？,"[('Kraken', 1.3283075003222222), ('重罚', 1.134644244211111), ('关停', 1.0841714361755554)]",2023-02-10 12:26:59,https://www.theblockbeats.info/news/34518
panewslab,重罚,0.32,2.98,Kraken被重罚并关停美国加密质押服务，业内人士如何看待这“新年第一雷”？,"[('Kraken', 0.9962306252416666), ('重罚', 0.8509831831583333), ('关停', 0.8131285771316666)]",2023-02-10 12:29:31,https://www.panewslab.com/zh/articledetails/mk5pwwyx.html
