source,main_keyword,slope,Occurrence,article_title,keywords,post_date,url
blockbeats,ETHDenver,0.84,7.1,ETHDenver参会总结：加密世界有哪些新趋势,"[('ETHDenver', 1.7078239289857142), ('加密', 1.3916849383742858), ('参会', 1.2915521782300001)]",2023-03-07 11:19:51,https://www.theblockbeats.info/news/35311
odaily,ETHDenver,0.84,7.1,ETHDenver2023参会感悟：驱动下轮牛市的引擎会是什么？,"[('ETHDenver', 1.3283075003222222), ('2023', 1.3283075003222222), ('下轮', 1.3283075003222222)]",2023-03-07 20:40:00,https://www.odaily.news/post/5185569
odaily,ETHDenver,0.84,7.1,ETHDenver参会总结：我们看到了哪些趋势？,"[('ETHDenver', 1.7078239289857142), ('参会', 1.2915521782300001), ('哪些', 1.0256074215985715)]",2023-03-07 11:55:17,https://www.odaily.news/post/5185551
odaily,ETHDenver,0.84,7.1,ETHDenver结束，有哪些值得关注的趋势或项目？,"[('ETHDenver', 1.7078239289857142), ('哪些', 1.0256074215985715), ('值得', 0.8596583286671429)]",2023-03-07 10:31:25,https://www.odaily.news/post/5185543
foresightnews,ETHDenver,0.84,7.1,刚结束的ETHDenver，都有啥值得关注的趋势或项目？,"[('ETHDenver', 1.9924612504833332), ('值得', 1.0029347167783333), ('结束', 0.8895925881116667)]",2023-03-07 08:23:00,https://foresightnews.pro/article/detail/27265
foresightnews,ETHDenver,0.84,7.1,ETHDenver参会总结：我们看到了哪些趋势,"[('ETHDenver', 1.7078239289857142), ('参会', 1.2915521782300001), ('哪些', 1.0256074215985715)]",2023-03-07 10:48:00,https://foresightnews.pro/article/detail/27274
foresightnews,ETHDenver,0.84,7.1,ETHDenver2023会议背后的VC观察｜ForesightTalking实录,"[('ETHDenver', 1.3283075003222222), ('2023', 1.3283075003222222), ('VC', 1.3283075003222222)]",2023-03-07 13:47:00,https://foresightnews.pro/article/detail/27310
panewslab,ETHDenver,0.84,7.1,一文了解ETHDenver2023上的新趋势、重点方向、新项目和未来增量市场,"[('ETHDenver', 1.0867970457181817), ('2023', 1.0867970457181817), ('一文', 0.7635835855845454)]",2023-03-07 17:16:31,https://www.panewslab.com/zh/articledetails/y81jda72.html
panewslab,ETHDenver,0.84,7.1,ETHDenver参会所闻所感：哪些趋势值得关注？,"[('ETHDenver', 1.7078239289857142), ('所感', 1.5442335998), ('参会', 1.2915521782300001)]",2023-03-07 13:34:54,https://www.panewslab.com/zh/articledetails/0ve9ns60.html
marsbit,ETHDenver,0.84,7.1,ETHDenver黑客松华人评委：新项目Demo的正确打开方式,"[('ETHDenver', 1.4943459378625), ('Demo', 1.4943459378625), ('打开方式', 1.4943459378625)]",2023-03-07 09:49:33,https://news.marsbit.cc/20230307094933559991.html
