date,foresightnews
2023-01-29,24143
2023-01-30,24215
2023-02-05,24633
2023-02-06,24694
2023-02-07,24775
2023-02-08,24974
2023-02-09,25037
2023-02-10,25122
2023-02-11,25142
2023-02-12,25161
2023-02-13,25278
2023-02-14,25445
2023-02-15,25588
2023-02-16,25680
2023-02-17,25883
2023-02-18,25926
2023-02-19,25938
2023-02-20,26090
2023-02-21,26123
2023-02-22,26260
2023-02-23,26348
2023-02-24,26491
2023-02-25,26502
2023-02-26,26664
2023-02-27,26787
2023-02-28,26845
2023-03-01,26938
2023-03-02,27047
2023-03-05,27184
2023-03-06,27263
2023-03-07,27373
2023-03-08,27472
2023-03-09,27721
2023-03-12,27905
2023-03-13,27976

2023-03-14,28171
2023-03-15,28252
2023-03-16,28314
2023-03-19,28512
2023-03-20,28629
2023-03-21,28702
2023-03-22,28805
2023-03-22,28890
2023-03-26,29153
2023-03-27,29287
2023-03-28,29443
2023-03-29,29530
2023-03-30,29616
